1,1,核心项目-1-阶段任务-3,2024/1/1,2024/1/31,Done,5
2,1,核心项目-1-阶段任务-2,2024/1/1,2024/1/31,Pending,2
3,1,核心项目-1-阶段任务-1,2024/1/1,2024/1/31,Doing,3
4,2,核心项目-2-阶段任务-3,2024/1/1,2024/1/31,Doing,5
5,2,核心项目-2-阶段任务-2,2024/1/1,2024/1/31,Pending,4
6,2,核心项目-2-阶段任务-1,2024/1/1,2024/1/31,Doing,8
7,3,核心项目-3-阶段任务-3,2024/1/1,2024/1/31,Pending,10
8,3,核心项目-3-阶段任务-2,2024/1/1,2024/1/31,Done,5
9,3,核心项目-3-阶段任务-1,2024/1/1,2024/1/31,Pending,1
10,4,核心项目-4-阶段任务-3,2024/1/1,2024/1/31,Doing,2
11,4,核心项目-4-阶段任务-2,2024/1/1,2024/1/31,Doing,10
12,4,核心项目-4-阶段任务-1,2024/1/1,2024/1/31,Pending,8
13,5,核心项目-5-阶段任务-3,2024/1/1,2024/1/31,Doing,1
14,5,核心项目-5-阶段任务-2,2024/1/1,2024/1/31,Pending,3
15,5,核心项目-5-阶段任务-1,2024/1/1,2024/1/31,Pending,5
16,6,核心项目-6-阶段任务-3,2024/1/1,2024/1/31,Done,2
17,6,核心项目-6-阶段任务-2,2024/1/1,2024/1/31,Done,2
18,6,核心项目-6-阶段任务-1,2024/1/1,2024/1/31,Doing,9
19,7,核心项目-7-阶段任务-3,2024/1/1,2024/1/31,Done,4
20,7,核心项目-7-阶段任务-2,2024/1/1,2024/1/31,Doing,7
21,7,核心项目-7-阶段任务-1,2024/1/1,2024/1/31,Done,10
22,8,核心项目-8-阶段任务-3,2024/1/1,2024/1/31,Pending,1
23,8,核心项目-8-阶段任务-2,2024/1/1,2024/1/31,Done,6
24,8,核心项目-8-阶段任务-1,2024/1/1,2024/1/31,Done,10
25,9,核心项目-9-阶段任务-3,2024/1/1,2024/1/31,Doing,7
26,9,核心项目-9-阶段任务-2,2024/1/1,2024/1/31,Done,4
27,9,核心项目-9-阶段任务-1,2024/1/1,2024/1/31,Pending,4
28,10,核心项目-10-阶段任务-3,2024/1/1,2024/1/31,Done,3
29,10,核心项目-10-阶段任务-2,2024/1/1,2024/1/31,Doing,10
30,10,核心项目-10-阶段任务-1,2024/1/1,2024/1/31,Doing,8
31,11,核心项目-11-阶段任务-3,2024/1/1,2024/1/31,Pending,8
32,11,核心项目-11-阶段任务-2,2024/1/1,2024/1/31,Pending,1
33,11,核心项目-11-阶段任务-1,2024/1/1,2024/1/31,Done,7
34,12,核心项目-12-阶段任务-3,2024/1/1,2024/1/31,Doing,8
35,12,核心项目-12-阶段任务-2,2024/1/1,2024/1/31,Done,6
36,12,核心项目-12-阶段任务-1,2024/1/1,2024/1/31,Done,6
37,13,核心项目-13-阶段任务-3,2024/1/1,2024/1/31,Pending,7
38,13,核心项目-13-阶段任务-2,2024/1/1,2024/1/31,Doing,3
39,13,核心项目-13-阶段任务-1,2024/1/1,2024/1/31,Done,7
40,14,核心项目-14-阶段任务-3,2024/1/1,2024/1/31,Done,2
41,14,核心项目-14-阶段任务-2,2024/1/1,2024/1/31,Pending,7
42,14,核心项目-14-阶段任务-1,2024/1/1,2024/1/31,Doing,2
43,15,核心项目-15-阶段任务-3,2024/1/1,2024/1/31,Done,10
44,15,核心项目-15-阶段任务-2,2024/1/1,2024/1/31,Pending,9
45,15,核心项目-15-阶段任务-1,2024/1/1,2024/1/31,Done,5
46,16,核心项目-16-阶段任务-3,2024/1/1,2024/1/31,Done,8
47,16,核心项目-16-阶段任务-2,2024/1/1,2024/1/31,Doing,7
48,16,核心项目-16-阶段任务-1,2024/1/1,2024/1/31,Pending,1
49,17,核心项目-17-阶段任务-3,2024/1/1,2024/1/31,Doing,7
50,17,核心项目-17-阶段任务-2,2024/1/1,2024/1/31,Done,9
51,17,核心项目-17-阶段任务-1,2024/1/1,2024/1/31,Done,3
52,18,核心项目-18-阶段任务-3,2024/1/1,2024/1/31,Pending,2
53,18,核心项目-18-阶段任务-2,2024/1/1,2024/1/31,Pending,4
54,18,核心项目-18-阶段任务-1,2024/1/1,2024/1/31,Doing,3
55,19,核心项目-19-阶段任务-3,2024/1/1,2024/1/31,Doing,6
56,19,核心项目-19-阶段任务-2,2024/1/1,2024/1/31,Done,6
57,19,核心项目-19-阶段任务-1,2024/1/1,2024/1/31,Pending,8
58,20,核心项目-20-阶段任务-3,2024/1/1,2024/1/31,Done,4
59,20,核心项目-20-阶段任务-2,2024/1/1,2024/1/31,Done,1
60,20,核心项目-20-阶段任务-1,2024/1/1,2024/1/31,Done,4
,,,,,,
